標的名稱,代碼,幣別,類型,成立日期,風險收益等級,配息頻率,淨值日期,淨值,三個月(%),六個月(%),一年(%),三年(%),成立以來(%),年化標準差,年化Sharpe,年化Beta,規模日期,基金規模,嘉實基金評等,備註
摩根大美國領先收成多重資產基金 (月配息型) - 美元(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金或收益平準金),ACJF162-TF6R,美元,多重資產型,2024/08/27,RR3,月配,2026/09/01,9.94,0.65,6.05,8.76,N/A,15.74,6.59,0.32,0.62,2026/07/31,6.909億,,
聯博-美國成長基金AP(總報酬月配)級別美元(基金之配息來源可能為本金)_(月配/單位數_僅供一生傳富、招財進保、世紀贏家商品連結),ALBT8-TF6S,美元,股票型,2024/07/24,RR4,月配,2026/09/01,71.52,-4.44,4.06,3.75,N/A,23.64,15.04,0.09,1.17,2026/07/31,"8,924.00百萬",,僅供一生傳富/招財進保/世紀贏家商品連結
摩根投資基金-多重收益基金-JPM多重收益(美元對沖)-A股(穩定月配)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)_(月配/單位數_僅供一生傳富、招財進保、世紀贏家商品連結),JFZN3-TF6T,美元,平衡型,2021/07/02,RR3,月配,2026/09/01,74.6,0.94,3.9,11.54,34.97,N/A,5.29,0.54,0.41,2026/06/30,"21,391.00百萬",3,僅供一生傳富/招財進保/世紀贏家商品連結
富蘭克林成長基金A股(本基金之配息來源可能為本金),FLZ06-TF6W,美元,股票型,1948/03/31,RR4,年配,2026/09/01,144.48,-0.09,7.13,11.75,54.89,N/A,11.84,0.26,0.91,2026/07/30,"17,139.00百萬",2.5,
施羅德全週期成長多重資產基金(新台幣)-配息型(本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金)_(月配/單位數_僅供一生傳富、招財進保、世紀贏家商品連結),ACES95-TF6X,台幣,多重資產型,2021/01/11,RR3,月配,2026/09/01,10.95,0.35,4.1,17.78,43.49,49.82,6.92,0.65,0.49,2026/07/31,25.2823億,3.5,僅供一生傳富/招財進保/世紀贏家商品連結
貝萊德世界金融基金 A10美元(總報酬穩定配息)(基金之配息來源可能為本金)_(月配/單位數_僅供一生傳富、招財進保、世紀贏家商品連結),SHZV5-TF6Y,美元,金融股,2022/10/19,RR4,月配,2026/09/01,19.67,9.73,11.57,16.87,120.16,175.24,15.11,0.3,1.18,2026/06/30,"2,754.00百萬",4,僅供一生傳富/招財進保/世紀贏家商品連結
貝萊德世界科技基金 A10 美元(總報酬穩定配息)(基金之配息來源可能為本金),SHZV9-TF7A,美元,資訊科技股,2022/10/26,RR4,月配,2026/09/01,20.39,-7.86,27.67,36.9,118.8,185.2,34.54,0.3,1.14,2026/06/30,"20,818.00百萬",3,
貝萊德世界黃金基金 A10 美元(總報酬穩定配息)(基金之配息來源可能為本金),SHZV6-TF7B,美元,貴重金屬,2022/10/19,RR5,月配,2026/09/01,30.8,11.61,-14.43,58.25,236.22,336.59,48.74,0.33,0.89,2026/06/30,"9,104.00百萬",2,
施羅德環球基金系列－環球黃金(美元)A-穩定月配(基金之配息來源可能為本金),PYZA76-TF7C,美元,貴重金屬,2026/02/25,RR5,月配,2026/09/01,80.1689,6.78,-16.4,N/A,N/A,-14.26,N/A,N/A,N/A,2026/07/31,"1,718.00百萬",,
施羅德環球基金系列－環球多元收益(美元)A-穩定月配(基金之配息來源可能為本金),PYZA67-TF7D,美元,平衡型,2025/11/19,RR3,月配,2026/09/01,101.9603,0.83,2.24,N/A,N/A,8.89,N/A,N/A,N/A,2026/07/31,"1,889.00百萬",,
施羅德全週期成長多重資產基金(美元)－配息型(本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),ACES97-TF7E,美元,多重資產型,2021/01/11,RR3,月配,2026/09/01,10.46,-0.27,3.24,15.07,46.69,42.46,9.18,0.42,0.74,2026/07/31,14.834億,3,
摩根亞洲股票高息基金(美元)(每月派息)(本基金之配息來源可能為本金且並無保證收益及配息),JFZR0-TF7F,美元,股票型,2023/12/21,RR5,月配,2026/09/01,13.29,1.45,10.13,N/A,N/A,N/A,N/A,N/A,N/A,2026/06/30,"3,419.00百萬",,
聯博亞太多重資產基金-AD類型(新台幣)(本基金得投資於非投資等級之高風險債券且配息來源可能為本金及收益平準金),ACTI27-TF7G,台幣,多重資產型,2014/11/27,RR4,月配,2026/09/01,12.9,0.07,10.4,43.8,91.51,122.69,21.46,0.51,0.88,2026/07/31,0.9795億,5,
聯博亞太多重資產基金-AD類型(美元)(本基金得投資於非投資等級之高風險債券且配息來源可能為本金及收益平準金),ACTI121-TF7H,美元,多重資產型,2026/08/14,RR4,月配,2026/09/01,15.28,N/A,N/A,N/A,N/A,2.57,N/A,N/A,N/A,N/A,N/A,,
景順日本小型企業基金 A(美元對沖)股 美元,CTZH8-TFA1,美元,中小型股,2014/07/23,RR4,無,2026/09/01,38.21,-4.78,7.09,34.54,100.58,282.1,25.5,0.36,0.62,2026/06/30,"17,585.00百萬",4.5,
景順歐洲大陸小型企業基金A(美元對沖)股 美元,CTZJ1-TFA2,美元,中小型股,2014/10/08,RR4,無,2026/09/01,32.82,0.67,1.08,0.24,41.4,228.2,12.75,-0.01,0.92,2026/06/30,196.00百萬,1.5,
景順環球消費趨勢基金A股 美元,ISZ04-TFA3,美元,非必需消費股,1994/10/03,RR4,無,2026/09/01,88.77,-17.53,3.13,-5.99,48.64,N/A,34.03,-0.02,0.22,2026/06/30,"1,889.00百萬",4,
摩根基金 - 美國小型企業股票基金 - JPM美國小型企業股票(美元) - A股(累計),JFZG5-TFA5,美元,股票型,2005/03/31,RR4,無,2026/09/01,34.3,1.42,4.93,2.76,14.6,243,12.52,0.05,0.45,2026/06/30,830.00百萬,1.5,
摩根基金 - 美國科技基金 - JPM美國科技(美元) - A股(累計),JFZG4-TFA6,美元,股票型,2005/03/31,RR4,無,2026/09/01,146.94,-7.81,17.76,14.53,79.09,1369.4,30.79,0.16,1.78,2026/06/30,"10,515.00百萬",3,
摩根基金 - 環球醫療科技基金 - JPM環球醫療科技(美元) - A股(累計),JFZD2-TFA7,美元,健康護理股,2009/10/02,RR3,無,2026/09/01,568.5,11.19,5.42,20.62,19.89,498.99,13.35,0.4,0.8,2026/06/30,"3,330.00百萬",2.5,
聯博-全球靈活收益基金A2級別美元(基金之配息來源可能為本金),ALBJ1-TFA8,美元,債券型,2012/02/03,RR2,無,2026/09/01,19.12,-0.68,-2,0.53,10.2,27.47,3.03,-0.06,0.89,2026/07/31,"1,097.00百萬",3,
聯博-聚焦美國股票基金A級別美元(基金之配息來源可能為本金),ALH38-TFA9,美元,股票型,2013/12/23,RR4,無,2026/09/01,45.73,1.42,-1.97,-7.02,13.67,204.87,10.81,-0.21,0.61,2026/07/31,246.00百萬,1,
美元貨幣帳戶,TFAD-TFAD,美元,貨幣帳戶,-,RR1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
瀚亞投資-大中華股票基金 A(美元),IOF20-TFAI,美元,股票型,2005/02/23,RR5,無,2026/09/01,34.149,-6.9,8.09,28.57,73.94,241.49,24.13,0.32,1.87,2026/07/31,89.00百萬,4.5,
瀚亞非洲基金-新臺幣,ACCP31-TFAN,台幣,跨國投資股票型區域型,2008/10/08,RR5,無,2026/09/01,37.68,5.37,-4.24,30.7,73.64,276.8,14.67,0.53,0.43,2026/07/31,5.0626億,3.5,
瀚亞投資-美國優質債券基金 A(美元),IOF04-TFAO,美元,公司債券,2005/03/01,RR2,無,2026/09/01,20.955,-0.96,-2.25,1.26,14.79,109.55,3.61,0.01,1.12,2026/07/31,419.00百萬,3,
貝萊德拉丁美洲基金 A2 美元,SHZ17-TFAP,美元,股票型,1997/01/09,RR5,無,2026/09/01,81.75,-0.04,-10.48,14.16,16.16,N/A,19.79,0.2,1,2026/06/30,624.00百萬,1,
貝萊德世界黃金基金 A2 美元,SHZ18-TFAQ,美元,貴重金屬,1994/12/30,RR5,無,2026/09/01,110.97,11.72,-14.42,58.28,236.37,N/A,48.78,0.33,0.9,2026/06/30,"9,104.00百萬",2,
摩根全球平衡基金,ACJF90-TFAS,台幣,股票債券平衡型跨國投資型,2003/12/09,RR3,無,2026/09/01,18.3975,-0.45,2.99,17.01,24.81,83.98,6.1,0.7,0.37,2026/07/31,8.3638億,2.5,
富蘭克林坦伯頓全球投資系列-全球債券基金美元A(acc)股(本基金之配息來源可能為本金),FLZ68-TFAT,美元,債券型,2006/04/28,RR2,無,2026/09/01,28.64,1.56,-0.45,6,12.18,89.79,6.85,0.2,1.24,2026/07/31,"2,444.00百萬",4,
歐元貨幣帳戶,TFAY-TFAY,歐元,貨幣帳戶,-,RR1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
聯博-優化波動股票基金A級別美元(基金之配息來源可能為本金),ALH37-TFB1,美元,股票型,2012/12/11,RR3,無,2026/09/01,55.17,3.68,6.01,9.1,45.18,267.8,9.75,0.24,0.7,2026/07/31,"7,015.00百萬",2.5,
安聯收益成長基金-AT累積類股(美元)(本基金有相當比重投資於非投資等級之高風險債券),TLZ63-TFB2,美元,平衡型,2011/11/18,RR3,無,2026/09/01,30.6298,-2.5,4.29,9.03,34.23,206.3,8.03,0.28,0.74,2026/07/31,"57,025.00百萬",2,
安聯歐陸成長基金-AT累積類股(美元避險),TLZA2-TFB3,美元,股票型,2013/12/04,RR4,無,2026/09/01,22.1365,2.93,1.42,5.84,11.27,121.37,13.86,0.11,0.85,2026/07/31,209.00百萬,1,
貝萊德新興市場基金 A2 美元,SHZ16-TFBB,美元,股票型,1993/12/01,RR5,無,2026/09/01,58.43,-3.66,8.91,39.48,58.3,N/A,24.92,0.41,1.53,2026/06/30,798.00百萬,2.5,
貝萊德環球資產配置基金 A2 美元,SHZB2-TFBC,美元,平衡型,1997/01/03,RR3,無,2026/09/01,99.06,0.22,3.3,12.52,43.21,607.07,8.83,0.36,0.71,2026/06/30,"18,833.00百萬",2.5,
瀚亞巴西基金,ACCP32-TFBE,台幣,跨國投資股票型單一國家,2010/01/06,RR5,無,2026/09/01,7.05,0.57,-8.32,24.12,18.69,-29.5,21.91,0.3,1.26,2026/07/31,6.9022億,3,
瀚亞中小型股基金,ACCP10-TFBF,台幣,國內股票開放型中小型,1998/04/03,RR5,無,2026/09/02,172.96,4.34,57.85,174.1,300.74,1629.6,50.68,0.66,1.37,2026/07/31,30.6597億,3,
瀚亞投資-中印股票基金 A(美元),IOF24-TFBG,美元,股票型,2005/10/17,RR5,無,2026/09/01,33.899,2.59,-2.65,-3.46,23.22,N/A,13.18,-0.09,0.47,2026/07/31,580.00百萬,,
