標的名稱,代碼,幣別,類型,成立日期,風險收益等級,配息頻率,淨值日期,淨值,三個月(%),六個月(%),一年(%),三年(%),成立以來(%),年化標準差,年化Sharpe,年化Beta,規模日期,基金規模,嘉實基金評等,備註
柏瑞全球策略非投資等級債券基金B(月配息)-美元(本基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACAI124-AIG28,美元,,2016/01/27,RR3,,2026/09/03,7.2516,0.61,1.55,3.18,20.88,,2.43,0.23,0.97,7.2516,0.99億,,正常狀態
台新策略優選總回報非投資等級債券基金(月配息)-美元(本基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結),ACTT91-TS028,美元,,2020/10/23,RR3,,2026/09/03,8.2579,0.96,0.97,3.05,19.62,,1.88,0.27,0.67,8.2579,0.36億,,正常狀態
宏利實質多重資產證券投資信託基金-B類型(月配息)-新臺幣(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)*,ACAP185-MNU30,台幣,,2021/08/17,RR3,,2026/09/03,7.8004,-0.94,-2.58,2.84,9.94,,3.81,0.13,-0.005,7.8004,0.86億,,正常狀態
台新優先順位資產抵押非投資等級債券基金B(月配息)-美元(本基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACTT59-TS019,美元,,2019/04/29,RR3,,2026/09/03,7.9386,1.01,0.98,2.84,16.22,,2.42,0.19,0.98,7.9386,0.96億,,正常狀態
宏利數位基礎設施多重資產證券投資信託基金 A類型-美元(本基金有相當比重投資於非投資等級之高風險債券),ACAP226-MNU32,美元,,2022/10/17,RR3,,2026/09/03,12.281,-1.13,-1.34,2.82,13.2,,5.8,0.09,0.3,12.281,0.10億,,正常狀態
宏利數位基礎設施多重資產證券投資信託基金 B類型(月配息)-美元(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)*,ACAP227-MNU33,美元,,2022/10/17,RR3,,2026/09/03,10.0481,-1.13,-1.34,2.82,13.2,,5.81,0.09,0.3,10.0481,0.20億,,正常狀態
第一金中國世紀基金-人民幣,ACNC47-FCB03,人民幣,,2014/09/10,RR5,,2026/09/03,21.15,-2.98,-2.94,2.77,30.56,,9.07,0.06,0.18,21.15,1.63億,,正常狀態
柏瑞ESG新興市場企業策略債券基金(月配息)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACAI26-AIG08,台幣,,2012/05/02,RR3,,2026/09/03,5.7737,0.07,-0.6,2.68,11.37,,2.66,0.16,0.37,5.7737,1.29億,,正常狀態
匯豐中國A股匯聚基金-人民幣,ACCI52-HSB16,人民幣,,2015/03/18,RR5,,2026/09/03,4.3544,-12.43,-16.38,2.47,15.15,,20.35,0.04,1.11,4.3544,5.22億,,正常狀態
合庫標普利變特別股收益指數基金B(月配息)-美元(本基金之配息來源可能為本金)*,ACCB37-TCB26,美元,,2018/03/26,RR4,,2026/09/03,7.35,0.14,0.3,2.39,16.45,,3.24,0.11,0.26,7.35,0.95億,,正常狀態
安聯美國短年期非投資等級債券基金B(月配息)-美元(基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACDD95-DS083,美元,,2019/05/03,RR3,,2026/09/03,7.1123,0.77,1.34,2.34,7.44,,1.32,0.24,0.5,7.1123,3.54億,,正常狀態
