標的名稱,代碼,幣別,類型,成立日期,風險收益等級,配息頻率,淨值日期,淨值,三個月(%),六個月(%),一年(%),三年(%),成立以來(%),年化標準差,年化Sharpe,年化Beta,規模日期,基金規模,嘉實基金評等,備註
施羅德環球基金系列-環球收息債券(美元)A-穩定月配 - (配現金)(本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),PYZA63-BCUSC037,美元,債券型,2024/09/18,RR2,月配,2026/09/10,89.2032,-0.41,-0.24,1.4,-,,1.59,0.03,0.04,-,"8,355百萬",,
施羅德環球基金系列-環球收息債券(美元)A-穩定月配 - (配股數)(本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),PYZA63-BNUSC038,美元,債券型,2024/09/18,RR2,月配,2026/09/10,89.2032,-0.41,-0.24,1.4,-,,1.59,0.03,0.04,-,"8,355百萬",,
先機環球動態債券基金L類避險收益股(澳幣穩定配息) - (配現金)(基金之配息來源可能為本金),SGFC9-BCACG023,澳幣,債券型,2019/05/20,RR2,月配,2026/09/10,9.2666,0.14,-0.41,1.4,12.19,,2.53,0.02,0.96,-,260百萬,,
原康健人壽標的＿匯豐環球投資基金－環球非投資等級債券（現金配息）(本基金配息來源可能為本金，本基金自110年5月2日起停止申購),HSZ87-CHEB0,歐元,非投資等級債券,2012/07/20,RR3,月配,2026/09/10,7.331,-0.21,0.74,1.39,16.58,,1.87,0.03,0.82,-,"1,202百萬",,
百達-美元中短期債券-R美元月配息 - (配現金)(基金之配息來源可能為本金),PICA6-BCUPA017,美元,債券型,2022/11/30,RR2,月配,2026/09/10,123.47,-0.24,-0.18,1.35,12.06,,0.99,0.03,0.46,-,407百萬,,
聯博-短期債券基金 AT股美元 - (配現金)(基金之配息來源可能為本金),ALZ58-BCUAB005,美元,債券型,2002/09/26,RR2,月配,2026/09/11,7.13,-0.29,0.26,1.35,11.14,,0.98,0.04,0.36,-,418百萬,,
聯博-短期債券基金 AT股美元 - (配股數)(基金之配息來源可能為本金),ALZ58-BNUAB005,美元,債券型,2002/09/26,RR2,月配,2026/09/11,7.13,-0.29,0.26,1.35,11.14,,0.98,0.04,0.36,-,418百萬,,
原康健人壽標的＿聯博－短期債券基金AT級別美元（現金配息）(本基金之配息來源可能為本金),ALZ58-CUUB4,美元,債券型,2002/09/26,RR2,月配,2026/09/11,7.13,-0.29,0.26,1.35,11.14,,0.98,0.04,0.36,-,418百萬,,
原康健人壽標的＿聯博－短期債券基金AT級別美元（單位數配息）(本基金之配息來源可能為本金),ALZ58-CUUB7,美元,債券型,2002/09/26,RR2,月配,2026/09/11,7.13,-0.29,0.26,1.35,11.14,,0.98,0.04,0.36,-,418百萬,,
富蘭克林坦伯頓全球投資系列-歐洲非投資等級債券基金歐元A(Mdis)股 - (配現金)(本基金之配息來源可能為本金),FLZ91-BCEFT005,歐元,非投資等級債券,2007/07/12,RR3,月配,2026/09/11,4.97,-0.03,0.71,1.33,18.31,,1.89,0.02,0.74,-,288百萬,,
富蘭克林坦伯頓全球投資系列-歐洲非投資等級債券基金歐元A(Mdis)股 - (配股數)(本基金之配息來源可能為本金),FLZ91-BNEFT005,歐元,非投資等級債券,2007/07/12,RR3,月配,2026/09/11,4.97,-0.03,0.71,1.33,18.31,,1.89,0.02,0.74,-,288百萬,,
聯博-短期債券基金AT股澳幣避險 - (配現金)(基金之配息來源可能為本金),ALZZ3-BCAAB003,澳幣,債券型,2010/10/06,RR2,月配,2026/09/11,11,-0.21,0.48,1.29,9.12,,0.97,0.02,0.32,-,418百萬,,
聯博-短期債券基金AT股澳幣避險 - (配股數)(基金之配息來源可能為本金),ALZZ3-BNAAB003,澳幣,債券型,2010/10/06,RR2,月配,2026/09/11,11,-0.21,0.48,1.29,9.12,,0.97,0.02,0.32,-,418百萬,,
原康健人壽標的＿聯博－短期債券基金AT澳幣避險級別（現金配息）(本基金之配息來源可能為本金),ALZZ3-CUAB1,澳幣,債券型,2010/10/06,RR2,月配,2026/09/11,11,-0.21,0.48,1.29,9.12,,0.97,0.02,0.32,-,418百萬,,
原康健人壽標的＿聯博－短期債券基金AT澳幣避險級別（單位數配息）(本基金之配息來源可能為本金),ALZZ3-CUAB3,澳幣,債券型,2010/10/06,RR2,月配,2026/09/11,11,-0.21,0.48,1.29,9.12,,0.97,0.02,0.32,-,418百萬,,
貝萊德環球非投資等級債券基金 Hedged A3 歐元 - (配現金)(基金主要投資於符合美國Rule 144A規定之私募性質債券且配息來源可能為本金),SHZ92-BCEML001,歐元,非投資等級債券,2003/09/01,RR3,月配,2026/09/11,4.2,-0.01,0.65,1.27,18.41,,1.78,0.01,0.87,-,"1,968百萬",,
貝萊德環球非投資等級債券基金 Hedged A3 歐元 - (配股數)(基金主要投資於符合美國Rule 144A規定之私募性質債券且配息來源可能為本金),SHZ92-BNEML001,歐元,非投資等級債券,2003/09/01,RR3,月配,2026/09/11,4.2,-0.01,0.65,1.27,18.41,,1.78,0.01,0.87,-,"1,968百萬",,
原康健人壽標的＿聯博－短期債券基金AA(穩定月配)級別美元（現金配息）(本基金之配息來源可能為本金),ALB66-CUUBB,美元,債券型,2014/01/09,RR2,月配,2026/09/11,10.19,-0.32,0.24,1.25,11.06,,1.08,0.01,0.37,-,418百萬,,
聯博-短期債券基金 A2股美元(基金之配息來源可能為本金),ALZ40-BNUAB006,美元,債券型,1999/05/12,RR2,無,2026/09/11,20.03,-0.35,0.2,1.21,11.03,,1.07,0,0.39,-,418百萬,,
瀚亞投資─亞洲債券基金A(美元)(本基金有相當比重投資於非投資等級之高風險債券),IOF06-BLUPC008,美元,債券型,2005/03/01,RR3,無,2026/09/11,19.95,-0.48,-0.54,1.2,19.86,,1.61,0,0.62,-,"2,390百萬",,
瀚亞投資-亞洲債券基金(Adm)- (配現金)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),IOF17-BCUPC004,美元,債券型,2009/06/01,RR3,月配,2026/09/11,7.23,-0.47,-0.54,1.2,19.86,,1.61,0,0.61,-,"2,390百萬",,
原康健人壽標的＿瀚亞投資－亞洲債券基金（現金配息）(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),IOF17-CDUB0,美元,債券型,2009/06/01,RR3,月配,2026/09/11,7.23,-0.47,-0.54,1.2,19.86,,1.61,0,0.61,-,"2,390百萬",,
瀚亞投資─亞洲債券基金Aadm(澳幣避險月配) - (配現金)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),IOF33-BCAPC001,澳幣,債券型,2012/06/18,RR3,月配,2026/09/11,5.722,-0.35,-0.37,1.08,17.4,,1.55,-0.03,0.55,-,"2,390百萬",,
摩根投資基金－策略總報酬基金 - JPM策略總報酬(歐元)- A股(累計)(本基金有相當比重投資於非投資等級之高風險債券),JFZE7-BLEJF001,歐元,平衡型,1998/10/23,RR3,無,2026/09/10,189.89,2.24,0.86,1.02,0.42,,6.27,0,0.37,-,"1,340百萬",,
